id,,,,,,,
368,,,,,,,
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,,,,,,,
386,,,,,,,
389,,,,,,,
394,,,,,,,
395,,,,,,,
397,,,,,,,
398,,,,,,,
501,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000000847.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/MinorVenable/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/MinorVenable/wms"", ""UVA Geoserver WMS"",""501""]])###/google.kml?uuid=29573f3b-c8d8-468b-b462-28f2ed458215&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
518,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003018.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""518""]])###/google.kml?uuid=c39e4af4-07f8-4be6-8665-93ec1240d3b4&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
522,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003020.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""522""]])###/google.kml?uuid=d5265752-d6ac-4895-a651-2dd44cfcf7a1&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
525,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003022.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""525""]])###/google.kml?uuid=0ad19b0d-7d09-4805-b1d4-fb6a5da45053&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
538,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003012.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""538""]])###/google.kml?uuid=072c6724-8b20-42e1-85dc-0aedda83fa4c&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
541,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003006.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""541""]])###/google.kml?uuid=b3b403dc-f36f-4b85-95f3-88e1e4a04761&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
546,,,,,,,
548,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003143.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""548""]])###/google.kml?uuid=825401e8-beb0-4e54-8e1e-8028e05de0f6&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
560,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003021.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""560""]])###/google.kml?uuid=31e7c3e1-6523-4cb2-87db-ed31c0df4d75&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
561,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003039.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""561""]])###/google.kml?uuid=42c4bad6-bc6f-4559-be6f-b2fa873ea007&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
562,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003015.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""562""]])###/google.kml?uuid=a9c16f15-80fa-4a57-bb1a-cdfe52a181f5&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
537,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003031.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""537""]])###/google.kml?uuid=1febcb0f-6044-413a-b67d-89e998659fdc&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
512,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003010.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""512""]])###/google.kml?uuid=72cd2f2e-06d7-429c-9f1f-af597134c2fb&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
516,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003016.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""516""]])###/google.kml?uuid=1881eeb9-3d0e-4872-badd-506c6448ea7b&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
373,,,,,,,
367,,,,,,,
534,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003056.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""534""]])###/google.kml?uuid=1a4ea373-21a3-49ab-a1e1-3402fec834be&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
359,,,,,,,
